epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2074.42,1.08992,0.59719,1.16709,0.97947,0.96109,0.98825,0.72063,1.00351,0.45955,1.16451,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2145.13,1.09052,0.59934,1.16658,0.98836,0.97349,0.99114,0.72564,1.00262,0.4492,1.15622,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2201.34,1.08518,0.59939,1.16195,0.98877,0.96182,0.98985,0.72079,1.00026,0.4418,1.15868,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2271.89,1.07082,0.58146,1.15369,0.9841,0.97031,0.98838,0.72644,0.98421,0.43271,1.1532,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2328.96,1.06804,0.58043,1.15176,0.98811,0.96934,0.98917,0.72921,0.99626,0.43133,1.16524,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2392.65,1.07591,0.59578,1.15355,0.99015,0.96607,0.98804,0.72817,0.98894,0.4408,1.1512,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2456.2,1.05057,0.56995,1.14479,0.98702,0.96802,0.99172,0.72814,0.97391,0.44063,1.14518,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2518.89,1.05565,0.56563,1.14683,0.98671,0.93531,0.95244,0.7077,0.97383,0.42115,1.14208,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2582.72,1.05456,0.57681,1.1487,0.98723,0.96819,0.98837,0.73303,0.97883,0.42041,1.14609,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2653.47,1.05272,0.56735,1.14516,0.9945,0.97137,0.99223,0.73468,0.96475,0.42379,1.13406,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2710.33,1.05099,0.56028,1.13797,0.98814,0.97199,0.99211,0.7397,0.96821,0.418,1.1385,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2773.42,1.04658,0.56152,1.14101,0.98773,0.97561,0.99279,0.73241,0.96661,0.41121,1.13929,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2837.18,1.04047,0.54884,1.13197,0.98908,0.97031,0.99146,0.73898,0.96403,0.41312,1.13226,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2900.28,1.04687,0.56278,1.14305,0.98994,0.9392,0.96194,0.71195,0.96975,0.40897,1.14274,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2963.86,1.03496,0.54834,1.13038,0.99054,0.96925,0.9896,0.73537,0.96395,0.41146,1.13596,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
